galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,gamma,gamma_lo,gamma_hi,chi2_reduced,n_data,acceptance_fraction
F568-V1,0.5002178879506235,0.39334519285557795,0.6322257767988834,0.6951301391176419,0.5572807141734522,0.8790545817707699,1269.2406041335298,890.713922828974,4091.520499826062,4.280625090808267,1.69202133290608,5.497008155655646,0.9602064783397211,0.43815812779497243,1.4026046843113091,0.11693349531153732,15,0.4579375
F571-8,0.26213695470435183,0.2298763796019183,0.2977452558599519,0.7138763248497534,0.5701491149723653,0.8849902591779699,370.3861578909498,339.32209319022314,404.6695693151378,11.22183765171782,10.574686939727158,11.89934319300918,1.4180762702152399,1.1914819892338229,1.6470530939047612,0.929164268928896,13,0.5553593750000001
F574-1,0.5060703393685032,0.4016687194589745,0.640435226787372,0.7020816748670984,0.5646829759477349,0.8717555050012613,508.59479127735256,430.69244367705227,601.3165221557913,5.827778839753648,5.256255299539912,6.365227505999496,1.1826549789750458,0.9568780169825697,1.4195429428076942,0.044910355170812585,14,0.544296875
F579-V1,0.5261820987966328,0.4097534676977707,0.6644744608075844,0.7054933852662242,0.5626952644634141,0.8937123519416167,7836.698094951867,3658.112895398904,379321.2403199729,1.4707282964254444,0.1156576627105618,2.3258778244701244,0.9096928946797274,0.43668420068956854,1.3689991361646519,0.2637933581250619,14,0.39584375
F583-1,0.4981953658389165,0.3984207250751882,0.6229872446810923,0.6981203759015941,0.5566608247535116,0.8801926719153131,276.6816804367956,247.16305210409962,307.4286778132179,6.788033709648002,6.296494502514277,7.3541814662262475,1.1466291509383921,0.9772770268219378,1.3269682253573476,0.1060892728844632,25,0.55565625
F583-4,0.5158627894742963,0.41448184682718603,0.654044165016727,0.7016820187284469,0.5633290734522374,0.8867555754571174,384.6031670898483,95.5398808689519,1470.9911063161132,3.7341072019299935,1.0479138443792513,11.427436400151057,0.19370696635123907,0.03288381693479059,0.5686507980143599,0.9028619707958139,12,0.39254687499999996
IC4202,0.3382242004267773,0.28321685293924204,0.39830975535763324,0.406220059496786,0.3346655076491978,0.4983351700129927,1343.1229171611888,1135.9357729217736,1570.2689105482395,8.484813500804615,7.737024915832457,9.207815328849573,1.3493847747768506,1.1955172859215453,1.4871624103240881,15.273712326609756,32,0.5042656249999999
NGC0024,0.5043049772910004,0.4015461583289911,0.6257226849366806,0.6942619573263971,0.5555692713165671,0.8779113337899299,4960.368429925008,4162.809957825435,5877.198762262393,1.8971905952429282,1.6712788341495202,2.103579037287374,0.9225266804094191,0.7892401918203997,1.050065052679647,0.3614325378355447,29,0.5435625000000001
NGC0100,0.5293153058702407,0.41946503931127815,0.6623114788655937,0.700001994999449,0.5627631585438566,0.8807833128548286,241.43552468453643,162.76581757963652,311.71075361111235,7.829908729865623,6.709791081792019,10.303074565441108,0.8649772737963275,0.5525894230533356,1.1691372558641298,0.09998318215746003,21,0.51496875
NGC0801,0.617551999858104,0.3326654766080965,0.7110499095097745,0.6905371124736426,0.5579020195355592,0.8624243816241199,425.3935603725774,7.66715998864207,37001325.819094546,5.028495919693724,0.043062113030669515,115.92746198127377,0.6565731195535538,0.12834147506844132,1.4856015615886147,63.93595901688681,13,0.197453125
NGC0891,0.3062601539190869,0.26788693193461643,0.34381203467197236,0.663363450195067,0.5597835668070757,0.7508199805055447,474.31601111171346,372.5856222654567,617.9438991136594,12.123869362069541,10.977551186791132,13.184602279334944,1.8771982757205028,1.6898677798342854,2.0589712863040712,1.3442214342798366,18,0.49626562500000004
NGC1003,0.559572770094511,0.473839811317416,0.6555823382789704,0.6962967503602483,0.5507381969035844,0.8703803849272937,263.8011928163812,123.8335666825804,684.333248776652,6.076369149527774,2.7199898500800987,11.008797008419526,0.3338526486160217,0.18162620564302973,0.5279472449297815,2.5881918162410815,36,0.371234375
NGC1090,0.35629675474659733,0.30713923960662864,0.41184653258153797,0.7062148307374543,0.5612598593271771,0.8841140830386809,729.207702837051,547.086601921298,945.6117962148653,7.701609774730095,6.857361423610177,8.700816492567581,1.2187264863892646,1.069735585052987,1.3513437457636395,0.9077725447429131,24,0.527296875
NGC2403,0.26194253220464325,0.22213891208021305,0.30478924320657536,0.7061000977996531,0.5624592692529032,0.8950694516703289,6792.303741600556,5787.723292592802,8380.98170032623,1.3102282474910127,1.0841904894457484,1.460192536606732,0.40910945123673376,0.3458689561171485,0.45189302688843264,6.1900578951319964,73,0.47484375
NGC2841,0.5306662733669659,0.4728355374115511,0.5859438589007554,0.6814692201288085,0.6071087345920164,0.7453964787766025,5558633.089007571,322459.9781532676,105308533.84367995,0.23840096153799795,0.05590279909563899,0.9546021414457047,1.6919963492138514,1.0700713319004616,2.4650478965048572,2.8265383799862045,50,0.23929687500000002
NGC2903,0.4647180536500722,0.2930028653096851,0.4873931046466925,0.7046862987363012,0.5587050831036472,0.8878358742891452,470.5538475767691,384.8340776087465,3987.6974479431374,10.931138601851348,3.715892132188299,12.14857425425117,1.2973092671533533,1.0984668403611266,1.4270099523028794,8.692419154469606,34,0.42262500000000003
NGC2955,0.44251255881290186,0.38541952604622637,0.4968348757582247,0.8291645492063777,0.7920718667165227,0.8664968484938096,104.93708568418346,71.85266602839498,144.3180477071863,23.097534263595616,21.79415491704849,24.550148960951322,2.5659470840451144,2.2894582355472006,2.7507337303819184,2.611173888708584,24,0.48593749999999997
NGC2998,0.37567820316961126,0.32730233656537394,0.43755314007646545,0.7044938670940792,0.5604464289723612,0.8905404763548185,562887.5550738168,159201.51232941056,1840463.614008481,0.0813184553854604,0.03209947483523777,0.21300781514830275,0.09328984990946887,0.04171698182954835,0.18139125638015152,1.3701258388964375,13,0.291921875
NGC3109,0.5016145378857862,0.40410400201137975,0.62568218800804,0.7059708130186093,0.5511138641760932,0.8927174255987439,182.0232307570416,134.47787423358506,219.94093018408887,8.065539673142162,6.869061870063986,10.807170119969985,0.7380446372011218,0.5759283346010768,0.8823763024627646,0.17043554311310097,25,0.510546875
NGC3198,0.3941882719809735,0.33921597549147564,0.4533879972734817,0.7095550447580701,0.5664556650499829,0.8913465983857883,554.3931756633137,456.53016422777233,656.6217729836998,8.052473236041825,7.427087492887581,8.810711094857549,1.0284774322055954,0.9602108725049096,1.100283759655424,0.8172218052272798,43,0.52728125
NGC3521,0.2971838588533612,0.25405583225046413,0.5323749460235231,0.6881191505790087,0.5510194100972703,0.8777493071392957,1204950.4189850725,4161.852454304057,7775591.08102578,0.07362701487593093,0.014882618570943227,1.3577897944052122,0.12393927590472346,0.03341984987256558,0.3509247930263595,3.138705818100007,41,0.238828125
NGC3741,0.5159422293219962,0.4120650848810193,0.6446715322740753,0.6968189167738594,0.5597964527710875,0.8773918531037731,420.63103081694317,235.0255225332089,1679.3643215897407,2.3877962107794297,0.6187723914586838,4.059786383185539,0.15940292723007063,0.042875692445301566,0.3320084071123318,0.5250664641984664,21,0.42653125
