galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
F568-V1,0.5050710246300296,0.3963736361040192,0.6368484845194147,0.6979584323820519,0.5558324215866537,0.8683724685434047,14505.123357442468,13192.677123100702,15931.09233549421,36.73112429503709,30.995312401341227,42.68241082016271,0.06392276283305093,15,0.6017708333333334
F571-8,0.23218834038963404,0.2034638383034485,0.2681384811003491,0.6952075814474347,0.5435460738513086,0.880585685225013,27697.30070142084,25837.924159726186,29709.416133831233,87.32115040970329,80.11003628199161,95.11876342244581,1.1491440955485588,13,0.6024999999999999
F574-1,0.4913657249596023,0.3952155593248503,0.6127967823554247,0.7291748195106457,0.5712135808930926,0.9022065084040591,9721.293497671099,9196.749899264225,10248.330869118452,43.42069534611724,39.50706064067918,47.731609788899945,0.07813564918637302,14,0.5961458333333334
F579-V1,0.5369393204282298,0.4176456064192136,0.6811001156655042,0.715700725128944,0.5678715662372948,0.9056229210284303,11378.210497987793,10429.841103528905,12424.124217432643,17.39627365615222,14.098167456890112,21.048931767277704,0.14384682793948605,14,0.5951041666666667
F583-1,0.5025421932970632,0.4061571348100811,0.6141720978787346,0.6801322689864866,0.5470739941298559,0.8703148064670072,7717.509326303957,7046.935498962165,8517.349656021705,55.95421815150756,51.08531684345358,61.49441296710434,0.17417345021483172,25,0.5988541666666667
F583-4,0.5326091803541306,0.4214830875779598,0.6814423199441432,0.69403332932248,0.5458846747497611,0.8910336786096993,4094.35477701977,3588.7941708346575,4905.6473643327445,32.94316660679339,24.812195409311467,49.14932725696729,0.6042706040394605,12,0.5740625
IC4202,0.34490106019735367,0.2951720332024934,0.4084387455797971,0.46118502917157433,0.3838706277393712,0.5510053748582255,49692.74305472672,46172.707315234235,52840.90315120272,58.95938750828846,54.41836642392612,65.74713787254518,21.730258522185043,32,0.5816666666666667
NGC0024,0.4577724332434213,0.3684914595288695,0.5538431205605571,0.700964381441476,0.5605235538113679,0.8823321220787619,12182.468952933074,11586.866460306124,12915.08232338673,16.86686155982555,15.72780849538385,18.336098258196515,0.601850044421323,29,0.5952083333333333
NGC0100,0.5006093876097479,0.4021931015149042,0.6229030901852967,0.6762425133501115,0.5540200225770664,0.8427314392104073,8952.573076321078,8141.967463287122,9953.20553001515,59.16844441559809,51.625656567564455,69.60063584441531,0.08573271342073023,21,0.5954166666666667
NGC0801,0.7029779103467707,0.6455157447157882,0.7346468379701546,0.7027514089389434,0.5299629388251598,0.8997139097971831,39564.11532774034,30988.130651680825,56060.07758251678,544.9540383913554,294.0561561925299,795.7942806373524,7.081426151197636,13,0.5038541666666667
NGC0891,0.26939547326141616,0.23761304260530883,0.3055227178766328,0.5727588043836168,0.4626672831339027,0.6827537501673304,39077.4430822263,37420.97524032555,40790.20691726774,63.46724509158289,56.40323254758138,71.72793942483486,2.4738017191711346,18,0.5896874999999999
NGC1003,0.8404558196063926,0.7830325524698342,0.9008270372174165,0.7022757007755064,0.5670782342471388,0.8786299396213902,14381.592628651246,13932.426543585747,14814.838210945692,172.2787027221638,159.27993900281325,184.1244811686729,3.8616363358250343,36,0.59375
NGC1090,0.3441882824482395,0.29121400558192845,0.4041969354836973,0.7001251310010547,0.5495447302872736,0.8976088809235878,24192.79723416179,22943.33478277781,25375.10497779916,60.02246938913659,53.76411078944021,68.31375251158491,1.062805406622503,24,0.6016666666666666
NGC2403,0.8484860006615528,0.8229852480732717,0.8717435144353097,0.7209147500300603,0.5646352374499412,0.8904787356030267,17501.798260259096,17258.512931624122,17725.539865369727,88.19395121217401,85.22342536481868,91.06471898968593,8.595484044318148,73,0.5695833333333333
NGC2841,0.39952154343054547,0.3175393219427902,0.5643625740765789,0.9681225082106959,0.8091965952114215,1.1845143095654025,81674.30461011094,73085.74292461321,86824.55870462893,62.68889641971993,53.30966922135262,92.56576976677786,3.491440572042638,50,0.5020833333333333
NGC2903,0.40355858799297817,0.23292683527917646,0.4276338510565936,0.7253184329467112,0.584435232269593,0.9047791930701637,31036.021222700605,30492.11783734923,37131.38202305436,58.9138423468895,28.10629376235622,65.73900307187544,7.122017520908981,34,0.5059375
NGC2955,0.3906329965155104,0.3316270209166024,0.4579723689092561,0.7995395576038373,0.7579979268520042,0.8375112414120693,46159.28956901479,39873.39653764893,52817.49352743069,156.446962876719,129.65069469657342,194.1962089844759,3.7863410895128906,24,0.5727083333333333
NGC2998,0.7862224674203032,0.6913180945915514,0.8692042041651455,0.6998864478405197,0.5455936458162532,0.8706302193007173,33726.3586103252,31568.432388083434,36412.11208787376,238.2221890840703,178.16675706177344,294.40930726124685,3.488758867580954,13,0.5691666666666666
NGC3109,0.49930235065360784,0.39920718087101986,0.6489073810385512,0.7521136109698451,0.5792919748266353,0.9318543072595878,6206.8495765169655,5830.221187220795,6631.6751214879205,54.02157464428172,50.76027260138004,57.58813368033967,0.2398505905389619,25,0.6020833333333334
NGC3198,0.33315439057711327,0.26928738274876723,0.3946293752144992,0.6930341837083301,0.5582245086089783,0.8757961122017572,23037.039290625846,22274.718402816306,23858.029749191446,62.90701765291696,58.29488315994627,68.43499089987355,0.7550510254774483,43,0.5611458333333332
NGC3521,0.2952019504506158,0.24947127362128246,0.3810418378172107,0.7388141764826829,0.5744979900429529,0.9257733767386498,32080.060107874495,23664.484168899602,36286.658415776175,12.76161678768008,11.367888422165347,14.482332429953143,1.839018516371356,41,0.5202083333333334
