galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,gamma,gamma_lo,gamma_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.4259183358343436,0.3388758811425621,0.5287540012249357,0.6947939191097814,0.536228513345027,0.9063776202454595,182.63617235651506,168.2838380762897,198.1434813123897,5.54534195540717,5.03352253540785,6.224476461711132,0.01,0.01,0.01,0.7367154161685247,16,0.5609999999999999
DDO064,0.5208627994868253,0.40171016942579185,0.6655325440193125,0.7014718152329098,0.5399816115828514,0.9038865882029266,911.6196369822087,689.9778624508812,1180.4406042912992,1.828391017622472,1.407591946050497,3.629224359922624,0.01,0.01,0.01,0.4730055307808479,14,0.49115624999999996
DDO161,0.5085283727952579,0.40384381950804293,0.6257647198028103,0.6954908169204566,0.5521011032296027,0.8616520631828286,59.48551742931941,46.25540794903415,74.37903685401083,9.31317396090669,8.301509372102505,10.620202693514871,0.23892255290484998,0.10500375260674918,0.35817147799131016,0.2134807500362794,31,0.5171874999999999
ESO079-G014,0.43354764515912786,0.3515579555421011,0.5320364194923689,0.704464048418255,0.5581056267675224,0.8817523458246352,381.56820141883236,292.9777269930214,465.34437655976944,9.26611686429818,8.460885679499658,10.508225269091257,0.14153359979686939,0.04809503836716676,0.2615118590027301,0.948801743648378,15,0.513359375
ESO116-G012,0.5025851879391613,0.40078667441103133,0.6252121643655415,0.703506958455765,0.5592555618273344,0.8813853743471542,442.5179032513657,330.27107760032357,578.6864389375581,5.571388577175886,4.891199564558935,6.444206543495819,0.35841274750514074,0.2224828594943258,0.4632328392359156,0.6490550784555882,15,0.5335624999999999
ESO563-G021,1.0184366044417987,0.8731175487963557,1.1877081420892017,0.7094700621495466,0.5583778869223381,0.8979773124913641,4.832387962704706,0.8760613655709784,26.2086511561797,505.23049452180106,177.90032582250717,1480.9102654062822,0.5857164089526173,0.158480007100522,0.7643492503124181,34.235227135380256,30,0.303484375
F563-1,0.5078176725969786,0.40062983401614605,0.6392885924999433,0.7059733946230925,0.556528727578111,0.8965106928149051,77.0217782515781,4.503445201813089,243.89789105056732,13.194874162433633,7.912544310449574,64.54018485629585,0.7073836373652218,0.39991101878778446,0.9372339730967815,1.2290723828519219,17,0.442875
F563-V2,0.5054821939654423,0.4008709278937209,0.6402027634980777,0.7085215963183589,0.5663647735951426,0.8833288554335507,1294.1671109076717,684.7048433599268,1840.4523429025357,3.7643788469930066,3.1452329106871444,5.111237707742201,0.17603316840451894,0.05071196608682447,0.3796849980757746,0.22646230548896532,10,0.52265625
F568-1,0.5102194526464116,0.39729957157949697,0.6588328483410105,0.6908896983889592,0.534848394263108,0.8951677682865037,1153.0155899095068,932.7769362858215,1398.6732543876258,4.300572258696323,3.8657750978401157,4.828746365027382,0.01,0.01,0.01,0.13774955959843177,12,0.56665625
F568-3,0.484660511624829,0.37650744208206427,0.6204740666795309,0.7012939024017003,0.5446218523147344,0.9120840337718653,365.3858348220097,312.1440323544166,422.9262287857257,6.178727224424633,5.555204955964987,6.837733519175009,0.01,0.01,0.01,0.8810937693352792,18,0.562265625
