galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,gamma,gamma_lo,gamma_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.45843798473969066,0.3678248273025232,0.5681452543029243,0.7066469520796824,0.570672579098793,0.8811689699123701,592.0272403981111,352.99221261355416,894.218262390865,2.0430430545665708,1.416615347823266,3.265408923407106,1.751545262466284,1.1517266823326344,2.4778907530968466,0.5677560500395384,16,0.460625
DDO064,0.5010960202327577,0.40040098510396366,0.6354397693880215,0.6994931750136528,0.5520961462972094,0.893090242537766,1417.5900043782913,297.1457685223369,3748.8803892996757,1.2497734729051255,0.5341708770392434,5.6195982425134,0.937433226340147,0.26806732824380597,2.1422986384882323,0.43402937899122207,14,0.436109375
DDO161,0.636653200276107,0.5051972995741477,0.780979778276405,0.6990386960143311,0.5514073331265212,0.8910359403528878,156.0972943432771,103.5234895337552,224.40464491017158,4.739817034183108,3.4467979014922725,6.890752049607143,1.1157588136532857,0.699363743656264,1.6224715836445245,0.2202651333058754,31,0.4478125
ESO079-G014,0.4775542795421267,0.3944432229648611,0.5682007453452372,0.6995176419632739,0.5563702326497268,0.8808695919288048,1228.4960204020017,851.1762293198334,1708.9012704235686,3.7742307039616754,2.8850033346060653,5.045239255716328,1.4557753433872598,1.0585885961438068,1.9548379060366465,0.5566468506293911,15,0.494484375
ESO116-G012,0.6047195193891707,0.46509556455637935,0.7771573011167427,0.7006056563784491,0.5540643445178404,0.8894980357286792,1276.7427110047288,806.4459744158395,1913.3942265915005,2.817857333674916,1.9637276087752529,4.160757291530064,0.9150617031731804,0.542423356197957,1.4824866475809704,1.0181620776941993,15,0.456453125
ESO563-G021,0.23052418372333827,0.19356851964710076,0.2708822146550431,0.696804348816112,0.5550301858121524,0.8716942718329321,6407.892952817527,5489.90186087235,7294.026393314248,2.9671032764518928,2.700475261119358,3.307571574829323,1.9195861953850422,1.6795583865652768,2.151960089990747,2.198894138123769,30,0.54378125
F563-1,0.49272640236952103,0.39368501710135034,0.6166536086789732,0.7079821352148898,0.5669970556502146,0.8929015531226642,2418.4207077706924,1018.1144434137142,4083.124881300474,1.745782483284182,1.2130610284323102,3.235871000214669,1.7211680069209772,0.8269290513062019,2.557737983493204,0.5120417180019141,17,0.48893749999999997
F563-V2,0.5115549879709145,0.4031324761482386,0.6338508415440449,0.6921014417808983,0.5466179475916937,0.8874426766806852,6676.8482829261575,3217.6540269122916,10882.745697391425,1.1039230406466345,0.7704676174794525,1.9126765751295116,1.772556829827526,0.9755497534233891,2.54560812781274,0.03965727971021131,10,0.5102187499999999
F568-1,0.5113507357920046,0.4032722771349266,0.642071080462303,0.6893925408079669,0.5468621038921334,0.880774099836498,3179.840937083957,1409.0247699947956,5543.580638592405,1.8488837812053922,1.2132321709210971,3.5066973484228234,1.4942662576319452,0.7367225289659837,2.360337072757794,0.03200261035238229,12,0.4779375
F568-3,0.49271463665491433,0.3978587472877141,0.6137959083330806,0.6927261636499525,0.5564322187567416,0.8730457470855599,1611.6414997464717,1046.9388567561546,2200.523386270761,1.797897363404335,1.4099494258300442,2.5362560481466785,2.1314480149062307,1.532217050968366,2.6679329330301784,0.3787661664519583,18,0.520078125
F568-V1,0.5008103280025554,0.4002888704737032,0.6307753577349453,0.7032032449582759,0.568097118503615,0.8746477561972854,3719.9561879297057,2175.967479648742,6188.590639363053,1.6079199848921708,1.0608674336375423,2.4948904046891713,1.2192547940792449,0.4668402986938418,2.1919835674227293,0.12329677977867334,15,0.4750625
F571-8,0.2651008056360968,0.23487387008215413,0.29872503221502494,0.703728801229157,0.5566306925484152,0.8712054645193424,1790.7857380481805,1239.8942682447039,2474.6758182867197,2.678818455761993,2.043603246972802,3.6537877048682392,1.8685276561292623,1.3276770261678077,2.513895081126318,0.9471156483472,13,0.5158906249999999
F574-1,0.5166189544248885,0.4099316673227625,0.6501556150714769,0.7061542740527436,0.560970613878401,0.8863630565335249,1676.649729061616,1131.6912568713617,2448.548268989877,1.9131776449209932,1.423768179620583,2.6058656592901537,1.3298044545577952,0.9032485314414038,1.887323426415309,0.04733642254685229,14,0.5145781249999999
