galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.3844011062436122,0.31509365457513583,0.4690175598090881,0.6957756030997042,0.5509784231565652,0.8735166795663865,818.5218016854209,618.3877916704064,1085.3059038565368,0.6246380542688957,0.42223615832741485,0.9572337206154649,2.520091835555764,16,0.585
DDO064,0.5056292493715095,0.4033462894094099,0.631094730193601,0.6998406451400759,0.5570400422940098,0.8718752336746719,3669.219873713131,1896.6276972624887,8042.955538490564,0.20553715318281562,0.0813044571556224,0.5466312717560842,0.44371664091354635,14,0.5605312499999999
DDO161,0.3993691221386367,0.3289094789736003,0.4859851871357881,0.6975904427102878,0.5613420706869015,0.8759914485238441,1141.9130174193128,991.7328361380761,1298.181082505189,0.26113468100992404,0.2372768119568773,0.29163465717389553,0.45130018515047254,31,0.591046875
ESO079-G014,0.5449397882561458,0.4394075933757601,0.6690904604683154,0.6999107753518842,0.5593918625042454,0.8821818931618987,5639.2824998771885,4038.8205678873496,7368.536839816405,0.27672732836789554,0.2361404834163891,0.3378013853848892,2.695092534572726,15,0.5666718749999999
ESO116-G012,0.4739401996599947,0.37972910771110985,0.5841677530121061,0.6929379172698689,0.5510030326628893,0.871111096148042,12277.975932769761,9535.386444302423,15193.496615162647,0.12289352070570021,0.10847522037708478,0.14307638934738556,1.2223030093345353,15,0.591625
ESO563-G021,1.1071412584090685,1.06240712684735,1.1400856923970797,0.6987166861584443,0.5603491081116947,0.8813016066036355,246.14755618224348,175.0101310943526,474.55194419705094,6.1163899087847,2.528672594576837,10.718407948925263,19.108135595074785,30,0.510125
F563-1,0.5136224411414605,0.4009251302892839,0.6510691255103211,0.6881269571997154,0.5515262380123128,0.8681990913454208,79.79332627455409,58.61894898545691,122.90519184227963,18.575903087836213,12.823559809934354,23.54769507626911,3.057578564003501,17,0.509046875
F563-V2,0.5081816650986328,0.4050011527292653,0.6335938309769288,0.699388938102775,0.5539841869487977,0.8746884773502928,16434.274766046645,10011.669733537956,26147.485697749165,0.11954659236203556,0.08777537544487839,0.17277013041035383,0.8905539775803094,10,0.581703125
F568-1,0.5013703577948901,0.40063952279628334,0.6296607146812633,0.7025933925492591,0.5545987280059644,0.8866724837445156,11834.406600177148,7838.625302599042,17556.533522899437,0.15777688565020676,0.12068735349113652,0.2144496787305314,0.5217561243125607,12,0.57353125
F568-3,0.5248062297010179,0.41691482657803974,0.6695854209120689,0.7061369605010782,0.564521482307814,0.8872606561275234,3167.503979844962,1992.8476865994733,4630.02711010356,0.2519113192670977,0.1913020454290292,0.3616212284244861,2.7011883639614376,18,0.588078125
