,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
10,ESO444-G084,0.5098895490027209,0.40651321637873455,0.6421270378026166,0.6941626687893971,0.5554175432835922,0.8703483198319413,5089.551203024285,4459.08968976142,5746.730974692007,0.7992583769944239,0.6414759140236451,0.9760702616704237,1.8733086002890385,7,0.593828125
11,ESO563-G021,0.4820220668657503,0.41565778629461564,0.5554375941772056,0.7043824677526457,0.5577044357411787,0.8882017432375978,88140.23691097586,83489.95890536725,92602.47628829643,3.6727284193759777,3.3787601226358577,4.019127848741609,15.176406832059573,30,0.5910312499999999
12,F561-1,0.6431665054336247,0.46537350463100563,0.8050577347792994,0.6936821948883827,0.5547123569494047,0.8779059574263325,600.2520304207594,6.418809884550716,1588.2726819594247,0.6784965895167127,0.03918278952357659,143.32990523836324,1.146136622135336,6,0.4375
13,F563-1,0.4988726839986179,0.3963438070953787,0.6296696878784015,0.6982715584552642,0.5545783493127511,0.8777596075754365,13239.68688512037,11994.094798687267,14614.952773756944,2.175095489118557,1.7682368336652576,2.6292400373679485,0.6548908343893569,17,0.5977343749999999
14,F563-V1,0.6003441507523867,0.47378043187586383,0.7453151840946821,0.7064535529544684,0.5558953649895403,0.8854616840015965,114.88274423077351,1.975280542069085,12717.917913604913,6.370793200254297,0.0655114641913347,590.0713971485104,1.7088979129018986,6,0.4728125
15,F563-V2,0.5118313433772348,0.40608303993249456,0.6398179766051626,0.6989607161659533,0.5517388722310061,0.8823608883783781,17129.05761244924,14358.558228352607,20612.70728314959,1.6136769361798204,1.2968804073471811,2.0260607265258934,0.3902263109034451,10,0.59890625
16,F565-V2,0.4976806963453425,0.3953142466618398,0.630990926331929,0.6931081884881707,0.5539453008274668,0.8719420318292381,11798.812061987943,8735.444455540952,18340.327968094098,3.565850007209869,2.456713652737029,5.4833148274802195,0.11522131954125686,7,0.568734375
17,F567-2,0.5297708229487431,0.41549399404717413,0.6747016436600095,0.7012296375621858,0.555630143425243,0.8845787511396915,1833.453946762997,1344.431510146864,3014.2993714007193,0.382437453492126,0.028075065021391916,2.089617501789776,2.947536195992547,5,0.49845312500000005
18,F568-1,0.500618784755171,0.39520403012121047,0.6342286124988387,0.7038843875378041,0.5574950660548291,0.8827503947393075,22175.350242754845,19590.613579160323,25186.81138962505,2.2975689890101267,1.9051735668314664,2.754566914123202,0.16338907624952326,12,0.5996406249999999
19,F568-3,0.4958469428415889,0.39274091925635346,0.6250057020684132,0.6960184391088466,0.5552942050164108,0.8684672141027198,15202.551663096136,13063.43674904295,17731.85171816175,3.7007149848814787,3.1178455792833444,4.398670108695519,1.294858960640058,18,0.595046875
20,F568-V1,0.5149456556101781,0.40654097791506544,0.6439203002047668,0.7001496987357501,0.5593502348617538,0.8854597411150907,14933.359158851774,13028.229520337092,17118.773835629134,1.3583586456527392,1.0104601311360961,1.7172676185347964,0.1714259497302506,15,0.592421875
21,F571-8,0.2282645433580189,0.19803239249249108,0.2677589536950437,0.699641700697588,0.5512515823405442,0.882061867001138,34679.37280787655,31426.90586694077,38982.125936370205,4.27897679431513,3.8076297141952096,4.873009650448244,1.5845514176088096,13,0.594234375
22,F571-V1,0.5067953481799768,0.4070269553292029,0.637344130982746,0.696097420963277,0.5494908873956059,0.8755435494686712,8788.127180182131,7088.575733820836,11251.035828611357,3.093751227065541,2.0455318061401813,4.478983964440741,0.1170363988740601,7,0.58728125
23,F574-1,0.4944206843503425,0.39436025026127525,0.624711485921588,0.7041686513758426,0.5582764263427542,0.8874385400083824,10672.673053915636,9916.079623779335,11493.621854515928,1.8726352761517275,1.6297709754504057,2.13172861288975,0.3415379905368436,14,0.5940624999999999
24,F574-2,0.5172974438396984,0.4262450926399408,0.6274427788051676,0.6995536821210072,0.5584916212144067,0.8821751121492791,42.03150462285513,0.7791431179794255,18875.66586739464,46.37814347967425,0.20566559495977316,1016.3830265857505,0.35239863418952283,5,0.48940625
25,F579-V1,0.5150342291805882,0.4073923684235225,0.643875250649057,0.6943040848046077,0.5555935580016165,0.8701809632028054,10367.8918247169,9261.778178005936,11521.238642378996,0.5352002735977456,0.3664604056410985,0.7140984561268947,0.06564858631600072,14,0.5921093749999999
26,F583-1,0.50301123470744,0.39898421892348335,0.6287497325504503,0.6907807721924244,0.5538167261991616,0.8660509375323628,9250.07803091782,8278.985218633597,10406.079196379987,2.655369718456174,2.3583458780841355,2.999443978361184,0.3780167240545281,25,0.5933125
27,F583-4,0.5143258351362282,0.4035453776170745,0.6521150484292999,0.7035572580625205,0.5583544781571922,0.8821740966799156,4509.774664723628,3852.376707428706,5448.717058266394,1.3644150015933068,1.0072935802803964,1.9524464077083483,0.37543798820552915,12,0.590828125
28,IC2574,0.7525209133880681,0.5998096031738406,0.8878771861660684,0.7011379333720413,0.5585734255025427,0.8870547242164039,26008.7017697043,15183.904614322444,88080.34057034634,13.650561584219234,9.632534486910565,27.154955869634943,2.6984476437150744,34,0.472640625
29,IC4202,0.43284527673614775,0.3726771002950277,0.4933906425744308,0.5294600063170309,0.4467940830687646,0.6177170827892207,45294.719376105066,41741.675843014564,48816.622609164515,2.2850933253618995,1.916474591113136,2.7351420429080298,29.18053973409829,32,0.58859375
30,KK98-251,0.5157638649445496,0.4083377880756222,0.6479195189840024,0.6978485117789507,0.5554290820378118,0.8710150725253045,3382.488565932455,2182.5353058785727,20628.82771248763,2.5658739805882385,1.876755723277997,7.313526026972887,0.37322518986161674,15,0.523640625
31,NGC0024,0.5509679722976283,0.4459442147896092,0.6817541629729458,0.7098522131244572,0.5651918804872677,0.886661702245011,11083.861145099947,10463.441335627675,11684.869893087034,0.6142270417245248,0.5499909558596634,0.6873763600677318,0.35405641457280557,29,0.59328125
32,NGC0055,0.4144221079608758,0.33739857207423357,0.5033117546986947,0.7062622203611683,0.5605686111966446,0.884634313215264,9570.019684154353,8774.721571754602,10492.800271576578,3.859570647095357,3.4847558618564562,4.273100931926796,0.5619773816455469,21,0.59325
