galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,gamma,gamma_lo,gamma_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.46737539030412334,0.375276007019148,0.5765815522826475,0.7153787954518286,0.5681753994221929,0.9015252039458252,416.1755239332401,342.54440411752904,494.3872488553497,2.2802965606090564,1.7612201035639812,3.0849851508921846,1.1172878203787495,0.8086372193782251,1.4864368702989774,0.5820992766346978,16,0.5284843749999999
DDO064,0.5153151759725972,0.4093487933037966,0.653563533946571,0.6881280939370689,0.5477127037755585,0.8769679178022467,1587.3314841903632,547.4050990268889,2712.339009935992,1.1604471821915008,0.5254676793115753,6.503327117311061,0.5633292143179096,0.09819390908376122,1.6621972914816898,0.4242335845996725,14,0.411453125
DDO161,0.6052910695749121,0.47628590849451263,0.7461196703036611,0.6920135995471526,0.548401496959662,0.8777105428821051,154.3905023757383,141.72057703253242,168.26589995128933,4.795133499029825,4.04829442826331,5.664063008363415,0.6793999046138064,0.4207719851914641,0.9368483863222948,0.3391042380389401,31,0.474953125
ESO079-G014,0.47238857141479995,0.3884734387689952,0.5676469929475404,0.7021639812440363,0.5597251919193605,0.8789770768982293,955.5088093223932,816.615260005808,1098.1309098308252,4.233542150353094,3.6822987993014293,4.9397048932601795,0.8727765408291281,0.6789058116611872,1.0845271930830718,0.5650172488126822,15,0.532578125
ESO116-G012,0.5662351388061978,0.44211185262298536,0.7222431974828964,0.699696733485913,0.5572324700100101,0.8744684410439708,1543.0308891548616,1208.7232877098895,1965.0636505090836,2.580029844851807,2.2021595762103723,3.0384319758825304,0.525019062071241,0.2615402935388421,0.8125565449955087,0.9799874150041961,15,0.5006249999999999
ESO563-G021,0.6066315221088678,0.4933152788795605,1.1451542871159681,0.7016573395461243,0.5512168394188893,0.8860629916948228,3771.1654776755167,20.85493846396946,5673.237684688486,4.89501482282483,3.9981251990931015,582.259069523995,0.01,0.01,0.01,20.14851929682135,30,0.339984375
F563-1,0.4961702550896813,0.39600632313561374,0.6270845416364911,0.6935717623476365,0.549657531029359,0.872257027088834,1883.5506261877995,1326.82545954779,2661.13166000693,1.9312663048469179,1.3811382660410694,2.685961338221299,1.089318322014385,0.4707149927732305,1.77482803373843,0.5558958455685973,17,0.50696875
F563-V2,0.5019693375396207,0.40001862186045695,0.6355331698166493,0.6828646015043799,0.548029728915944,0.8668369986297237,5160.359401715419,3484.563158951645,7302.518496485442,1.131776683497622,0.7704622865692327,1.7379162425317836,1.2820918285069502,0.664947774469959,2.0011670181338173,0.012737039265581562,10,0.531484375
F568-1,0.5010365278756638,0.3981897275700603,0.6250688589568864,0.6939042156922891,0.5492855319903198,0.8729372002004094,2509.6728557211445,1847.7343709281765,3373.113616557736,2.0980494246890085,1.4818235104316602,2.9652985882936247,0.8676147217901138,0.42063544425439064,1.4467041442354902,0.04364283481808655,12,0.51278125
F568-3,0.5055861363318886,0.40153531871856846,0.636733468106001,0.6971145631373239,0.5557219097574639,0.8815056054579476,974.3794948262878,787.3400073574464,1184.8483362449301,2.1905979073914525,1.7355765952690765,2.7810690398974427,1.2779090369041062,0.9774133336612666,1.6251382904946512,0.39767196861075327,18,0.54746875
F568-V1,0.5109407155261323,0.4054269556085702,0.6402121072303795,0.6989198112935844,0.5502386128429676,0.8772929684481787,3303.9195389160127,2535.5169509626908,5172.497784260774,1.6371240861845515,1.239636358027642,2.0629102882890824,0.691568921533507,0.25558804967410076,1.2448398088512065,0.2400824649759125,15,0.493015625
F571-8,0.26351282583643004,0.23151144769357573,0.2984812445983131,0.7024066723204361,0.5611917553511687,0.8758516013793312,1173.5014947070347,1027.2357047559021,1341.1297425439589,3.1958364228594034,2.6453042328147753,3.8810570429289095,1.1219671888360347,0.8443742758899654,1.4509511901594454,0.9559780439930191,13,0.547328125
F574-1,0.5060536900337215,0.40262619514044856,0.6384881489866671,0.7083803236093902,0.5608495258092554,0.8833377785398601,1451.563610354903,1214.7884018275079,1717.1347381347437,2.0231339186579307,1.7217480472481541,2.3806348647734707,0.8215020461506695,0.5744890080123829,1.100348457628021,0.04871215788515289,14,0.54353125
F579-V1,0.5226992106986774,0.4114641331004075,0.6630243332985958,0.692655490071754,0.5494838181244664,0.8781898931579382,15530.469158495396,8881.829548319802,38997.12204791384,0.7129247517536847,0.4527455524099842,0.9597166446686931,0.5511350595840026,0.18804540928604463,0.9985652781118954,0.2589162802346737,14,0.49434374999999997
F583-1,0.5007029539149356,0.39967434829158466,0.6313072136277756,0.6906056838433972,0.5564117298913565,0.8706003235401467,764.5689885634663,662.4369147730156,886.291792604757,2.4825021106476868,2.0740327906119327,2.9498817409366436,0.7627161598080094,0.5773750745443423,0.9721565116915666,0.10673348485073837,25,0.55315625
F583-4,0.5358524241850492,0.4081038208114345,0.7124872783432591,0.6866579140870732,0.5348281393785829,0.8989383984280034,929.5304122641278,278.8534775527161,1994.4246909390226,2.6549900706706566,1.5770251526430783,7.396204902669467,0.01,0.01,0.01,0.27958205376932277,12,0.46939062499999995
IC4202,0.9211753024763684,0.8552282924721111,0.975692842800514,0.987724829225131,0.9487426734127827,1.027905876489992,137.40182204783838,36.41409501652346,649.841119183298,216.42557901595484,34.530321355223464,1230.238279233362,0.8127318058941053,0.12623340021522944,2.1668602068551563,58.58966845019985,32,0.2710625
NGC0024,0.48774155087837523,0.38811555208498866,0.613436725043432,0.6837426881198969,0.5398208900587828,0.8678785313903308,12954.072793271018,10898.052794915078,15384.729104959182,0.8437841169376837,0.7686026814579505,0.9355641523338949,0.476774867377895,0.30482165675204803,0.6280844063457008,0.39449905133858,29,0.5459375
NGC0100,0.5148710218200337,0.4088775163712729,0.6459633611739092,0.706827823150738,0.5623574494022652,0.8786199053812757,685.4326314813025,507.9251276061405,864.786502242073,3.296754038463096,2.526403776943805,4.485714117670811,0.5119945629283007,0.25884177518906876,0.7990360013213161,0.10360918962422301,21,0.51646875
NGC0801,0.3440651818272992,0.29786472925433377,0.39719866999248843,0.7046976093308529,0.5516701555135846,0.8955411518619587,32470135.752504524,737985.0756965581,200666833.4469339,0.030478703926981654,0.012305626697176709,0.20133145766702162,0.9719276744693046,0.2745320222747373,2.247573638485177,14.66543164066887,13,0.400546875
NGC0891,0.30543700797551643,0.2669312453714437,0.34432929826812464,0.6648569365159994,0.5526158863003398,0.7514751407192176,1948.8807742071458,1626.1339308451784,2378.4848950993132,2.480375542489688,2.2177239372395823,2.7888767573311473,1.728520785231132,1.43788793172058,2.093586156804831,1.4341583136798923,18,0.525171875
