galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
D631-7,0.3818915646272827,0.3093169668226818,0.46946111932282153,0.690002318046962,0.5497678255717797,0.8566342729512805,1.1895051077128294,0.44712126583058015,4.125104782716913,751.6884372570019,220.54238698615876,1989.6759410648021,6.5929735384222,16,0.5575937500000001
DDO064,0.5095148747196848,0.4031333376776189,0.6443595295102353,0.6984050394075174,0.557046432625181,0.8853335791905945,5.917169038377743,1.0246865241718663,43.41590954760088,225.9064447719705,32.90487181142325,1283.1383774768447,0.6721663424853509,14,0.557390625
DDO161,0.36768203765611157,0.3013205542106179,0.44497639898087016,0.7005114528773265,0.5558057949569174,0.8806079736531086,9.843825326128876,4.259899904029438,15.883977526677112,72.44173048035695,48.72835563110673,151.48468433439984,1.0603440165622133,31,0.510609375
ESO079-G014,0.6618565112588494,0.5200614598300435,0.8222297148264508,0.6952962643286356,0.5498295515126362,0.8792971440755173,43.97358455065568,6.760415332111672,109.74490787173634,74.2083181043839,38.28294473194159,358.1033124762356,4.316324128436673,15,0.46876562499999996
ESO116-G012,0.527452046612785,0.417997713315603,0.6611675063314542,0.6940889149608579,0.5585960882533372,0.865766244911176,141.3470654427854,54.19803083402809,243.66829434219343,24.960736821449004,17.042431844636024,52.615519350489095,2.7843782423890944,15,0.5317812500000001
ESO563-G021,0.7046440746171894,0.5280036908509447,0.9945913135002057,0.7039499148923635,0.5575253075464571,0.8827653236485496,270.3033890829311,6.4868064564375585,605.6966048209744,35.094584686375356,23.713995434454592,478.3029828402921,22.255680312800457,30,0.40431249999999996
F563-1,0.49389045478698584,0.3956094545909328,0.6289374986004039,0.7042133458289297,0.5654445942834488,0.8822575194358662,217.71067512481747,105.35553176631814,402.26587967816624,16.013549006205906,11.164619391918393,25.59387378535759,1.201291514476791,17,0.57934375
F563-V2,0.5268854094314387,0.41504445428275333,0.6668006299057709,0.7098967270939982,0.5566054576702588,0.8833721625498931,49.32122413833688,4.00210513145578,282.1151823466324,73.5699327687069,17.56836854738898,806.9895700672391,1.7871459933563711,10,0.5293749999999999
F568-1,0.5183966268028865,0.4099478624586368,0.6489387939959209,0.6899128455002331,0.5515383963243035,0.8676918486786283,56.09994327429141,5.267661379556963,227.2919776358677,68.7419496323415,22.332093862661477,638.7078078578447,1.10564177796935,12,0.50703125
F568-3,0.5676669260761517,0.45059373810026576,0.7213525774271435,0.7162247476347811,0.5669142473755335,0.8907216290025666,13.741849980349622,1.8796863529943546,58.69065542672565,117.84386804192805,36.11575971896473,778.7313118918611,4.095663457339276,18,0.53465625
F568-V1,0.50961641718271,0.40383320966002034,0.6454992928597318,0.7010350250316773,0.5558939781744219,0.8750015684148372,953.4646202453827,563.5450281105707,1626.6964668381192,7.861729374259995,5.687768840233003,11.074092023494787,0.2524442408994014,15,0.590953125
F571-8,0.2709135422121358,0.22373135228050517,0.33071185372238127,0.706936104997024,0.561138767787634,0.8823839229483041,15.127106803057753,2.644084079047132,68.08084241199175,238.48192439590719,60.233516838564896,1312.0952229412949,10.417493086174872,13,0.51759375
