,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
19,F568-3,0.5611587934490918,0.4457581182872595,0.7169787141714682,0.700615767946054,0.5550662304625372,0.8752507809107161,213105.5816543005,77306.02255600458,1500579.094110353,130.33660949853842,37.119739102843454,1017.2730047133404,4.143660992774199,18,0.529015625
20,F568-V1,0.5123896059261968,0.4049787102155902,0.6450803356295729,0.7010203497357529,0.5555075344185796,0.8860591480491625,59730.58643805629,51948.53961461146,71899.2259539345,8.16720237034764,5.956753745070048,11.58384365910497,0.2577166847904568,15,0.5909375
21,F571-8,0.2702666464940321,0.22331460044440504,0.33149283894421633,0.7011953549147736,0.5531051689855051,0.8786494170421013,866599.2204606461,252298.66345098984,4351675.947128995,241.01575902044115,61.518595780008944,1263.3412237011644,10.344940371345352,13,0.52371875
22,F571-V1,0.509487440654012,0.4073786532077125,0.6457913884162918,0.7104149616206271,0.5661128710477915,0.8913618366001798,77539.85763040592,33410.22304068744,747314.491007764,60.55538870305287,16.676358053575928,711.2008926679614,0.712319533750373,7,0.49028125
23,F574-1,0.526878039679836,0.41408075455157284,0.6590057800994903,0.7006661303000237,0.5607548250283556,0.8801696512661207,43852.87636991916,38793.47850213688,52257.82199162646,12.424968416835059,9.375750249243563,17.55698124541229,2.13412849747157,14,0.580890625
24,F574-2,0.5254414739477524,0.4327922712251353,0.6333118764515577,0.6970808506555953,0.549295596224163,0.8836981449736159,37.774689092164586,0.8037143531641442,2234.7995897883397,8.601497120383746,0.04733754596637712,606.5936366549381,0.2947386969162702,5,0.49120312499999996
25,F579-V1,0.5184205513592849,0.40986952759661727,0.654794695082062,0.6984668504453653,0.5532915648974582,0.8849175396929374,44919.17009895886,40217.26124644061,49523.1073833304,4.12707512558307,3.188125051661961,5.417371706659602,0.22762201428028073,14,0.5977656250000001
26,F583-1,0.5167082643648867,0.40962210591198955,0.6613245376270674,0.703104667066354,0.5567049617794302,0.8766881613668653,55335.590062143136,37951.686617940635,145253.51084106078,31.53117599151532,19.348174336918476,95.61537357822321,1.7531571581433885,25,0.547921875
27,F583-4,0.5286381442662145,0.41703621987043243,0.6689653014317082,0.7049444166680157,0.5624922154731326,0.8831999225751662,165893.54795137933,34677.18640768395,1240771.6496494787,146.2102307139298,24.23301574486656,1146.874209864496,0.2509550160874419,12,0.5029374999999999
28,IC2574,0.3737694546900182,0.305274048502959,0.45813791027566453,0.6986608800662307,0.5563123669412984,0.8800238486960347,756617.2327558999,323101.778524729,1328515.6140784125,1358.7705959453215,579.5915857100634,2391.1803546268193,10.969799329269772,34,0.553671875
29,IC4202,0.44322223516319215,0.3768563221417115,0.51621122239661,0.5192189725433902,0.4336946489715142,0.6217859998348849,177865.3047182689,163518.44613475777,192024.2480788998,13.134884013451964,10.965278844411642,16.891814295013823,39.16173081266462,32,0.573140625
30,KK98-251,0.5076062762804847,0.3980693420577953,0.6407490334403214,0.699004960240767,0.5565632970846707,0.8677244695582039,208229.15258013035,46088.23600573732,739132.4135908954,462.4131137820776,100.17731803041303,1659.2240290408736,2.161177424667646,15,0.562890625
31,NGC0024,0.6195871465763809,0.4861548786991507,0.7914613490386935,0.7002393246951243,0.5559880036145128,0.8815845918277277,45776.66572335156,42861.93486161049,48587.07428687004,4.366150030739931,3.7755977100091602,5.196296543075142,0.9469687204412078,29,0.586125
32,NGC0055,0.4315510196471471,0.34795922668314727,0.5412857229363375,0.695342250617745,0.5561106734856811,0.8767137309314976,73858.27745403149,47298.15553125065,262749.22677225835,59.7815285279861,33.95017737274135,241.3979074690772,3.301968631831602,21,0.5356093749999999
33,NGC0100,0.4904520538364274,0.40861501250032856,0.580673072101527,0.7005203794778911,0.554863556979684,0.8848024565111038,611250.8063370319,145843.116105277,2478158.276890354,378.1938915784665,82.50434757698592,1562.1259675408255,0.8525336990455398,21,0.541390625
34,NGC0247,0.5130293728122743,0.40832196226587036,0.6491190985590491,0.7082711064071158,0.5611103575172348,0.8894341890471631,51297.05260001012,45868.16572398829,58676.757428889476,21.805743800021258,18.698920175867368,26.598501201595727,2.012347856130692,26,0.584125
35,NGC0289,0.52030988550594,0.4460860834334549,0.5994397000693177,0.6978613504567406,0.5551381046396991,0.8779640448274353,106828.68274331253,102828.47091812111,111082.297211047,20.02557163783785,15.663716840238125,26.401528063313126,2.2706093102662814,28,0.58815625
36,NGC0300,0.5334400629900099,0.42406528010358835,0.6911539928797049,0.7050835311857715,0.5594737663164661,0.8943651373346465,56886.77701900037,48604.63373398614,77948.09144997179,22.392222792280457,16.760700912509908,37.252608510695495,0.7104997549821421,25,0.5425312499999999
37,NGC0801,0.6669987582682324,0.6440275133127941,0.6889625398857967,0.6990108119708842,0.551145532186895,0.8835795833266702,838614.2244510484,326356.14529442904,1869658.1574106815,894.490779756209,302.74195684128256,2083.0940164723615,6.377944290819827,13,0.52890625
38,NGC0891,0.25728871310414203,0.2211758386097997,0.2979432672940837,0.5558213135584736,0.4565222851094312,0.6500320523382801,154652.44415331446,147336.9005753424,162233.87679915666,10.382535693073896,8.254030726345034,13.700315394637794,4.351609253797323,18,0.5726718749999999
39,NGC1003,0.5608697382470547,0.49467083336219636,0.6315247359400535,0.7049973303482325,0.5623711409592422,0.8819211279330299,63690.14235506033,59068.21212572215,69607.77382479793,38.03265274858635,31.320528144061807,46.13445375855803,2.6903209859381327,36,0.580875
