galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
NGC2998,0.7719343528141616,0.6888656988344193,0.8500905523327669,0.7091201965356783,0.5649322324470275,0.8893313392074428,373.58513817483157,242.37890515379496,581.9037676008446,18.235935199815152,14.547004807847085,23.48681543198171,3.4765176056183975,13,0.56278125
NGC3109,0.5002501743154812,0.3964915380544959,0.6323572574654838,0.6912789808300375,0.5501207178000116,0.8682344406035798,1112.2898374932386,1036.6191002282628,1195.6737718177317,4.791563794379934,4.4771974814489415,5.1491423678456085,0.16207095733857624,25,0.5929843750000001
NGC3198,0.6405986659156885,0.49410309622984644,0.7089168356544566,0.6943803261827298,0.5580285670463409,0.8673504378090328,1138.374480439158,854.2855920836497,1946.438256694109,8.242498395989607,6.4924393858592495,9.436781263176455,1.5389284452363152,43,0.478515625
NGC3521,0.5860821978158502,0.5711936367677284,0.5994079377707576,0.7049350682853404,0.5571061035816485,0.8823366616419243,725.9393182353165,396.68375272156663,1103.7351350369959,18.509108583035612,12.405045000917784,89.26475336523444,0.20725611952789788,41,0.477078125
NGC3741,0.6890821116040599,0.5406791183333185,0.8514598901781945,0.6983309931670613,0.5530167964101499,0.8811281422294479,1251.6170759603463,1118.830443216008,1414.526735517561,3.009140478026437,2.745383539816062,3.2787731497389965,1.0042578682201049,21,0.5919687499999999
NGC3893,0.4383263469480914,0.3655793273799832,0.5162397492693473,0.7055975682810868,0.5598930568509769,0.8819264480777725,5305.2809916912565,3086.575939182735,8711.476661988481,4.390980130385926,3.520387319596917,5.738303126993593,0.43013118450016147,10,0.590421875
NGC3917,0.5104461852324084,0.41301007129753425,0.6316984447506603,0.7011695114234359,0.5545705697654124,0.8846577921075784,2621.2606321388525,2050.1377109129644,3157.3265326889887,4.837191903127791,4.422280895449181,5.351475614062611,1.7832078683009596,17,0.570140625
NGC3953,0.7695088505069259,0.48436477691089025,0.8473278161158857,0.7084490860741726,0.561511015337446,0.8989703249611021,5128.269989246072,11.643241448732015,37785.0205555717,2.778902808324173,0.13723042149823164,44.6000225181944,3.5669455104790475,8,0.32092187499999997
NGC3972,0.4760726151209886,0.3796089136758693,0.5991663391687253,0.7023983487694564,0.5616487477431876,0.8811646915320495,3481.819839591842,2490.581456578437,4587.490915853014,4.149111049775158,3.5091121655957322,5.096532338611133,1.1486047963275727,10,0.580078125
NGC3992,0.4553167148691094,0.3584148861059321,0.5828222592821702,0.6977793342526901,0.5549394264659515,0.8726702486089942,9414.47482229527,3262.891461697057,47976.8078952651,5.213253596674067,2.8427086237163888,7.856286137098198,1.3516426929283925,9,0.48428125
NGC4088,0.4469532665908107,0.4182691980225032,0.47253233410464984,0.7005351245686953,0.5558582502366982,0.8847971596971996,127.63564306120875,108.8169631775735,199.33239789300845,190.9360956184601,32.812575271515065,1189.8723283809557,0.5895761394986707,12,0.465609375
NGC4100,0.4337766772137814,0.3713986426911125,0.5040972140958991,0.7009857991182409,0.5574512470879076,0.8868877038636209,8213.406205031873,6027.325010843128,10840.040082292968,3.561023582509762,3.189886884597453,4.030178026506866,0.6087072940356412,24,0.58609375
NGC4157,0.5325087357597921,0.4839647603959085,0.5733540166416946,0.6539386501800777,0.5230815255971796,0.827422481738176,329.4925558243525,212.15523114559414,533.7069227996599,20.943338584906723,14.72934065784919,32.90867448615358,0.3856799912201474,17,0.522234375
NGC4183,0.4838975221537178,0.38810205919533325,0.5938904740050225,0.6908053230881898,0.5494278577462163,0.8726407486521256,3499.217191036797,2790.489530488447,4259.61486193683,3.449641398607624,3.148764385924885,3.812323787431411,0.36122741733116276,23,0.59046875
NGC4217,0.5623516695935366,0.45130126216800354,0.6989184758447491,0.2584898340232767,0.22945264361704995,0.29151006866184914,2895.9311142088072,2093.821398856672,3877.6350628944183,6.326544775729627,5.425067046089485,7.558625150313411,2.585115403055482,19,0.5906875
NGC4559,0.5264470898376525,0.45367236696799795,0.5916774107643986,0.6954712574878119,0.5554792229774804,0.8840818803559939,865.3569699085491,626.8644840941423,1233.7829522343577,7.451515691381133,6.209605634115746,8.915960346191445,0.2457206594414459,32,0.5831875
NGC5005,0.5752991442713996,0.4988878504134413,0.6507090779324116,0.5418748134824658,0.4757911576496573,0.6081034620510116,742.5421869098052,410.04826057892075,2374.141857119101,49.51564324147603,5.567555297889187,750.9382098021713,0.08687439541531165,18,0.44021875
NGC5033,0.4511711379994663,0.3905493449664512,0.5170613963014694,0.5046144928053052,0.44573188079890147,0.5711075562745882,3617.2016594037295,3004.148215481663,4354.981952294627,6.577866061525427,6.066457657084399,7.128515194890594,2.245409508540504,22,0.5917187500000001
NGC5055,0.4323294603638325,0.42537183479257357,0.43989989198116003,0.7019356849700422,0.5560463633444539,0.8856396108552349,971.3653751678956,873.5314626056658,1058.5192643995024,10.71519901593524,10.305423025473592,11.251483642705226,2.1088965178700088,28,0.5885625
NGC5371,0.6241981150211735,0.6110616063996942,0.6400565827721908,0.7013110525730744,0.5582461774824754,0.8785716886419795,29.684300559940077,26.912469532340083,32.71555365350317,859.96608133673,282.7186063021258,2011.4945151909492,11.441187881576957,19,0.550546875
NGC5585,0.46432826433514124,0.4178674132570972,0.514488931138967,0.6902623795122625,0.5545467068450728,0.8612139789739589,1747.2202782364047,1517.5771150552894,1993.5038926146183,4.323285660165331,4.019252115198325,4.705472231765464,6.267272845407762,24,0.5896874999999999
NGC5907,0.9733125331046284,0.9288947129455444,1.0042014659541458,0.706367706229182,0.5567298384037577,0.8888359296688109,85.63387300865233,67.97704388666465,119.85977285291355,50.25856572264293,36.94691135076645,66.55266076530233,5.87814086576683,19,0.446359375
NGC5985,0.3376814352776757,0.2783395606552529,0.4073617279656941,0.717238259293148,0.5793607450533178,0.8868258310874746,16632.706825974896,15034.473993878182,18438.8327405147,4.45902029868234,4.219647041512501,4.69012764419726,3.0846005214247945,33,0.5864843750000001
NGC6195,0.4865548624674348,0.3893895243697027,0.5755609540145167,0.753372117389902,0.7267419618654066,0.7757800585444032,189.8085570761097,80.72366997370612,377.90088222306105,35.079844085002584,21.732506049435166,143.8413758851723,1.7809842390047241,23,0.44434375
NGC6503,0.6291240406997772,0.5800446760799091,0.6997994430664651,0.6925099204310428,0.5463626558776229,0.8733038229810007,1576.3075519348467,1337.2521154376052,1814.8779562932705,5.557059482007252,5.197394825042829,5.993819129559447,2.7598511535188144,31,0.5834062499999999
NGC6674,1.4025976237498123,1.3597863454464254,1.4446766376878273,0.7619519244575245,0.6057531939037728,0.9601948039484342,60.79892764769392,51.98513463944734,71.87191116793649,72.93527895046356,61.5615841711399,88.93801963024468,1.3636105407004484,15,0.569578125
NGC6946,0.5161921712574592,0.43243277461361596,0.5712771224413523,0.595765420562547,0.5490454315141655,0.6371661420171197,1749.9674255261596,1052.7138128948284,3331.2441428821644,6.278288068985786,4.711644790009442,8.226734766413283,1.49064227358614,58,0.516890625
NGC7331,0.41163465669754773,0.39551361215664077,0.4275815962685977,0.5744434904488281,0.4666828491536303,0.7055830400071901,720.6051078091118,626.9438224701518,835.418723662604,16.20376557246,14.804237764542016,17.722782420225435,1.3327149377085863,36,0.5899687499999999
NGC7793,0.7197537506044541,0.6389165034054904,0.7896513709447011,0.7026243423946552,0.5611443079500065,0.8861318702651002,2321.5364012237387,1348.399249522819,3855.3784629551105,3.368597013394575,2.585280174374489,4.695786080594285,0.779999506088758,46,0.5730312499999999
NGC7814,0.5204406269607242,0.4098903689480526,0.6613637911860587,0.6177579650233002,0.5772416361213651,0.6594091508537017,5241.77318444198,3987.965669688132,6759.7322992328745,5.362449215049629,4.749035276603194,6.125827706072159,0.7486289100163096,18,0.5882499999999999
UGC00128,0.48895134804325946,0.3843837628361022,0.6268538387032923,0.7049320867576756,0.5596202183116473,0.8859244873281636,821.4879525170825,719.8924551806983,948.833346236133,8.96627952721824,8.358914656261172,9.535773329386211,10.200168338306305,22,0.582578125
