galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
NGC4217,0.6108085268460042,0.48737643635047506,0.7630376984653644,0.2670130614113819,0.23708336658710896,0.30077286409310505,2346.0085250502807,1615.4795224796133,3461.0845799040017,3.9785560428812587,3.1599542409322545,5.012508300108095,2.9369709284827907,19,0.58740625
NGC4559,0.4714983641553023,0.37702015456881943,0.5635940662817308,0.7046695058880404,0.5568984210904915,0.8869534543543565,1270.805869167449,697.4000482649175,2367.809904967006,3.334567396076383,2.376203434995862,4.723855721907673,0.3291611102285018,32,0.5705
NGC5005,0.5666040618451759,0.4866054718993035,0.648085455872918,0.5384846025364434,0.47151218575874615,0.6102295782103594,758.3660040999154,385.9664098887226,3755.9367188716974,19.317413271458655,2.5333207275108696,580.7989852870785,0.09036316505585056,18,0.421421875
NGC5033,0.4568741384398586,0.3810761777410959,0.5362414869489779,0.4652843720284933,0.40418593714970474,0.5312076186478966,9863.07271589406,5858.212107024458,18038.74384155225,1.985196021059122,1.4590654856653775,2.6008930475129137,9.079798161655283,22,0.578609375
NGC5055,0.409000071909746,0.38293722490249144,0.4262876190880734,0.6980660075634473,0.5514473942948314,0.8773808422400701,1516.4660468121126,1131.7261567019434,2345.140002779489,4.316534179905994,3.4385279014646017,5.041388433554749,8.640600383746676,28,0.572875
NGC5371,0.6265714021414545,0.613056029723979,0.6426460746064537,0.697600950677694,0.556782388282736,0.8795873445284719,28.33846659726743,25.767808458638033,30.685504661743913,539.1193591889278,167.12593374670908,1695.5341412932555,11.160790082721995,19,0.551078125
NGC5585,0.48395036638024225,0.43505642778475456,0.5367296199072973,0.7035511430375112,0.5619817433686567,0.8921865663944122,1489.926925250153,1256.8659489481859,1750.9027394436996,2.6769088475396408,2.4151749515384204,2.994246268144284,6.32211059531206,24,0.58871875
NGC5907,0.5052373714557755,0.47359513359741756,0.54134665915058,0.7103578337407283,0.5593881688842495,0.8878534625047604,2777464.8927987167,71061.22517746127,94765017.03066061,0.11030626865084148,0.01888814268404798,0.6851179433191023,5.512999394413061,19,0.532390625
NGC5985,0.4178500088464144,0.35443650262132204,0.4870316138686291,0.8968138265894433,0.7424738186747961,1.0712618102960174,10039810.769282678,797072.8464434134,140400505.16547504,0.08334308808290193,0.022417288192730714,0.2977029429851714,2.537136506635288,33,0.5494531250000001
NGC6195,0.4755402981058139,0.3845780972035655,0.5613067053816371,0.7569846876873338,0.7304131199208377,0.7782534658133511,180.86644362547827,90.08154250566623,338.1709180945141,20.600706431511636,13.357522326379872,43.90910050272536,1.7553950482508889,23,0.48128125
NGC6503,0.3775022007015403,0.3151830468439342,0.44635719150722,0.7047218795916109,0.5584459457605196,0.8851975738622636,12595.440850573443,7420.504592969909,23113.390955670588,0.9963245760235707,0.7317323224323382,1.3051120505341618,1.3724647272870993,31,0.5741406250000001
NGC6674,0.581539026748937,0.5039512010899694,0.6541911610945104,0.7737279820667577,0.6051088510512621,0.9888795589941918,5439606.315174856,225665.1746971426,112652960.8634358,0.08910053202900367,0.01954946601689332,0.4370908959305573,9.336068376646192,15,0.550765625
NGC6946,0.519251621537526,0.4706357536424879,0.5653219090010989,0.5800780582456884,0.534970822368867,0.6189771725495187,1753.7510772915682,1046.858560782964,2878.865756078275,3.5016186684372377,2.709336815964752,4.6928949513149,1.5107205048822416,58,0.564734375
NGC7331,0.38451924859731357,0.35920144231818446,0.4055237669523895,0.6081714702286298,0.49041929810363166,0.7440369966126948,1034.4386095749096,788.084351769756,1460.1453627279786,7.293285578080434,5.95332359489885,8.644413309128693,0.9705014029566803,36,0.57290625
NGC7793,0.7369169708005965,0.63997061657311,0.8059255515788579,0.6998702907404931,0.5596838200437562,0.8827969447914736,1780.715342179173,975.9726533896883,3682.9922723988384,2.2257243650808163,1.4473665201104648,3.3948133019659426,0.8218808574982708,46,0.5776406249999999
NGC7814,0.5002026600928011,0.4014922714094984,0.6235179357414758,0.5627384808403042,0.5069988464883921,0.6143070065585212,11197.39572394035,6766.2881195106165,20977.00472889991,1.9097904591703847,1.3760972487374494,2.503219547898144,0.3676155136756462,18,0.5743437499999999
UGC00128,0.5480965425672344,0.4463764648694667,0.6755336398540658,0.7075768871885458,0.565683965026083,0.8791162550407863,2429.408561419985,2074.327913807499,2823.931626410188,2.583752896095871,2.3948745549373256,2.792530369690143,3.63460065614551,22,0.584734375
UGC00191,0.5241106125427295,0.4138402635083626,0.6578576610313877,0.7031196076638275,0.5561314433203042,0.8802335308406554,4881.015638014867,4083.8553755085964,5759.262639219966,1.135764186744757,1.042329687775124,1.2446971318405353,2.3947439127878463,9,0.589796875
UGC00731,0.5023605406490919,0.39533786490003964,0.639324799141635,0.6969564916651135,0.556041196677184,0.8713108800672147,3305.1251742628447,2790.9207514911805,3965.229693686109,1.2601535105572264,1.1267038536301355,1.4013048385257887,0.20256070119531536,12,0.594484375
UGC01230,0.5303973861780945,0.41355543201542505,0.6752969138269014,0.701764516638347,0.5551037870153331,0.8833206866516483,5239.054130294087,2595.3704976544336,33443.69992776693,1.394996828485743,0.5170373979547263,2.063643507879383,1.2391725375471003,11,0.553296875
UGC01281,0.4999688223685713,0.4994348522344284,0.5003970226619308,0.7001252426096392,0.6992148496825736,0.7006877261556497,1112.539036779189,1111.7687215041633,1113.1983262220733,1.9202292003732568,1.9193915758120061,1.922846576603915,1.1073258559984407,25,0.0
