Complexity,Loss,Equation
1,19.899702,"f = #2"
2,8.829778,"f = log(#1)"
3,8.446387,"f = log(sqrt(#1))"
4,1.0945859,"f = exp(#2 - #1)"
5,1.0294756,"f = exp(#2 - sqrt(#1))"
6,0.61494315,"f = exp((#2 / #1) - #1)"
7,0.47594562,"f = exp((#2 / #1) - sqrt(#1))"
8,0.33000064,"f = exp(19.083277 / (#2 + #1))"
18,0.29621783,"f = exp(((#2 - 20.665598) / (#2 * -3.7033584)) / (#1 + 0.287661))"
