Complexity,Loss,Equation
1,16.61111,"f = #1"
3,14.202406,"f = #1 + #2"
5,6.8647795,"f = #1 / (#1 + #2)"
7,2.279266,"f = #2 - (#1 / (#1 - #2))"
11,1.3443551,"f = #1 / ((#1 * (#1 - (#2 - #2))) + #2)"
13,0.4201451,"f = #1 / (((#1 + -0.23481739) * #1) + 0.12959975)"
17,0.36656404,"f = #1 / ((#1 * ((2.1233609 - #1) / (#2 - (#1 - #2)))) + #2)"
19,0.16963604,"f = (#1 * #1) / (((#2 / #1) * 1.4110895) - ((#1 / -1.4550751) * #1))"
