Complexity,Loss,Equation
1,13.995913,"f = #1"
3,11.772652,"f = -0.00044739246"
5,6.9562135,"f = 3.0338635 - #1"
7,3.3932679,"f = (0.16629143 - #1) / #1"
9,0.9734661,"f = #1 / (#1 + (#1 * (#1 * #1)))"
11,0.95510226,"f = 1.3809979 / ((#1 * #1) + 2.256635)"
13,0.7615514,"f = #1 / ((#1 + -0.009739862) + ((#1 * #1) * #1))"
15,0.34178552,"f = (#1 + 6.957245) / (((#1 * #1) * #1) + 0.043870077)"
17,0.3174132,"f = ((#1 * #1) + 6.957245) / ((#1 * (#1 * #1)) + 0.043870077)"
