Complexity,Loss,Equation
1,0.61817163,"f = #1"
3,0.4308482,"f = 69.97738"
5,0.11672954,"f = 0.4633843 - #1"
7,0.09500358,"f = (111.434395 - #1) / #1"
9,0.0020670567,"f = #1 / (#1 + (#1 * (#1 * #1)))"
13,0.0016009255,"f = #1 / (#1 + ((#1 * (#1 - 0.23690696)) * #1))"
15,0.0015891867,"f = -0.67319745 / (((0.13133582 - #1) * #1) + -0.39365888)"
17,0.0014207315,"f = ((#1 / ((#1 + (#1 * (#1 * #1))) + 0.20204727)) * #1) / #1"
